,sh.000036,sh.000069,sh.000074,sh.000901,sh.000990,sh.000997,
sh.600309,sh.600522,sh.600593,sh.600741,sh.600887,sh.601678,
sh.601916,sh.601928,sh.603557,sh.603569,sh.603848,sh.603956,
sh.603970,sh.688100,sh.688158,sh.688266,sz.000418,sz.000837,
sz.000902,sz.000937,sz.000980,sz.002312,sz.002324,sz.002339,
sz.002479,sz.002512,sz.002701,sz.002729,sz.002927,sz.300040,
sz.300109,sz.300124,sz.300127,sz.300145,sz.300181,sz.300217,
sz.300228,sz.300325,sz.300377,sz.300433,sz.300461,sz.300466,
sz.300475,sz.300480,sz.300606,sz.300628,sz.300656,sz.300721,
sz.300743,sz.300795,sz.300846,sz.300855,sz.399001,sz.399002,
sz.399007,sz.399008,sz.399013,sz.399233,sz.399243,sz.399310,
sz.399321,sz.399344,sz.399348,sz.399362,sz.399386,sz.399396,
sz.399403,sz.399608,sz.399626,sz.399627,sz.399630,sz.399660,
sz.399667,sz.399670,sz.399674,sz.399703,sz.399705,sz.399901
